Ref,Val,Package,PosX,PosY,Rot,Side
"D49","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-11.350000,0.000000,top
"D50","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-11.350000,0.000000,top
"D51","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-11.350000,0.000000,top
"D52","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-11.350000,0.000000,top
"D53","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-11.350000,0.000000,top
"D54","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-11.350000,0.000000,top
"D55","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-11.350000,0.000000,top
"D56","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-11.350000,0.000000,top
"D57","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-11.350000,0.000000,top
"D58","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-11.350000,0.000000,top
"D59","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-11.350000,0.000000,top
"D60","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-11.350000,0.000000,top
"D61","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-11.350000,0.000000,top
"D62","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.500000,-11.350000,0.000000,top
"D63","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-11.350000,0.000000,top
"D64","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-11.350000,0.000000,top
"D65","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-16.350000,0.000000,top
"D66","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-16.350000,0.000000,top
"D67","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-16.350000,0.000000,top
"D68","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-16.350000,0.000000,top
"D69","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-16.350000,0.000000,top
"D70","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-16.350000,0.000000,top
"D71","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-16.350000,0.000000,top
"D72","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-16.350000,0.000000,top
"D73","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-16.350000,0.000000,top
"D74","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-16.350000,0.000000,top
"D75","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-16.350000,0.000000,top
"D76","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-16.350000,0.000000,top
"D77","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-16.350000,0.000000,top
"D78","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-16.350000,0.000000,top
"D79","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-16.350000,0.000000,top
"D80","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-16.350000,0.000000,top
"D81","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-16.350000,0.000000,top
"D82","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-16.350000,0.000000,top
"D83","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-16.350000,0.000000,top
"D84","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-16.350000,0.000000,top
"D85","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-16.350000,0.000000,top
"D86","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-16.350000,0.000000,top
"D87","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-16.350000,0.000000,top
"D88","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-16.350000,0.000000,top
"D89","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-16.350000,0.000000,top
"D90","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-16.350000,0.000000,top
